locator,location,time,Nall,Nmissed,Ncorrect,Nwrong,mergeEquivalent,mergeSuperCSubSpace,mergeTypeChefSubSpace,mergeDisjointOrOverlapping,isTrue
FeatureCoPP,splc18challengecase/vbdb/linux/simple/7c6048b.c:24,662,1,0,?,?,0,0,0,0,0
FeatureCoPP,splc18challengecase/vbdb/linux/simple/8c82962.c:17,659,1,0,?,?,0,0,0,0,0
FeatureCoPP,splc18challengecase/vbdb/linux/simple/91ea820.c:40,687,1,0,?,?,0,0,0,0,0
FeatureCoPP,splc18challengecase/vbdb/linux/simple/ae249b5.c:20,772,1,0,?,?,0,0,0,0,0
FeatureCoPP,splc18challengecase/vbdb/linux/simple/bc8cec0.c:28,684,1,0,?,?,0,0,0,0,0
FeatureCoPP,splc18challengecase/vbdb/linux/simple/c708c57.c:21,667,1,0,?,?,0,0,0,0,0
FeatureCoPP,splc18challengecase/vbdb/linux/simple/d530db0.c:19,669,1,0,?,?,0,0,0,0,0
FeatureCoPP,splc18challengecase/vbdb/linux/simple/d549f55.c:14,651,1,0,?,?,0,0,0,0,0
FeatureCoPP,splc18challengecase/vbdb/linux/simple/d6c7e11.c:20,658,1,0,?,?,0,0,0,0,0
FeatureCoPP,splc18challengecase/vbdb/linux/simple/d7e9711.c:11,650,1,0,?,?,0,0,0,0,1
FeatureCoPP,splc18challengecase/vbdb/linux/simple/e1fbd92.c:17,648,1,0,?,?,0,0,0,0,0
FeatureCoPP,splc18challengecase/vbdb/linux/simple/e67bc51.c:12,647,1,0,?,?,0,0,0,0,1
FeatureCoPP,splc18challengecase/vbdb/linux/simple/e68bb91.c:10,659,1,0,?,?,0,0,0,0,0
FeatureCoPP,splc18challengecase/vbdb/linux/simple/eb91f1d.c:36,676,1,0,?,?,0,0,0,0,0
FeatureCoPP,splc18challengecase/vbdb/linux/simple/ee3f34e.c:46,672,1,0,?,?,0,0,0,0,0
FeatureCoPP,splc18challengecase/vbdb/linux/simple/f3d83e2.c:14,662,1,0,?,?,0,0,0,0,0
FeatureCoPP,splc18challengecase/vbdb/linux/simple/f48ec1d.c:10,637,1,0,?,?,0,0,0,0,0
FeatureCoPP,splc18challengecase/vbdb/linux/simple/f7ab9b4.c:55,663,1,0,?,?,0,0,0,0,0
Merge,splc18challengecase/vbdb/marlin/simple/2d22902.c:11,651,1,0,?,?,1,0,0,0,0
Merge,splc18challengecase/vbdb/marlin/simple/7336e6d.c:44,750,1,0,?,?,1,0,0,0,0
Merge,splc18challengecase/vbdb/marlin/simple/7336e6d.c:45,728,1,0,?,?,1,0,0,0,0
Merge,splc18challengecase/vbdb/marlin/simple/831016b.c:16,615,1,1,0,0,0,0,0,0,0
Merge,splc18challengecase/vbdb/marlin/simple/8c4377d.c:16,661,1,0,?,?,1,0,0,0,0
Merge,splc18challengecase/vbdb/marlin/simple/b8e79dc.c:27,665,1,0,?,?,1,0,0,0,0
Merge,splc18challengecase/vbdb/marlin/simple/fdac8f6.c:9,633,1,0,?,?,1,0,0,0,1
Merge,splc18challengecase/vbdb/busybox/simple/199501f.c:22,696,1,0,?,?,1,0,0,0,0
Merge,splc18challengecase/vbdb/busybox/simple/1b487ea.c:15,694,1,0,?,?,1,0,0,0,0
Merge,splc18challengecase/vbdb/busybox/simple/2631486.c:42,753,1,0,?,?,1,0,0,0,0
Merge,splc18challengecase/vbdb/busybox/simple/5275b1e.c:25,702,1,0,?,?,1,0,0,0,1
Merge,splc18challengecase/vbdb/busybox/simple/5cd6461.c:23,729,1,0,?,?,1,0,0,0,1
Merge,splc18challengecase/vbdb/busybox/simple/9575518.c:48,759,1,0,?,?,1,0,0,0,1
Merge,splc18challengecase/vbdb/busybox/simple/b7ebc61.c:17,679,1,0,?,?,1,0,0,0,1
Merge,splc18challengecase/vbdb/busybox/simple/bc0ffc0.c:44,723,1,0,?,?,1,0,0,0,0
Merge,splc18challengecase/vbdb/busybox/simple/cf1f2ac.c:29,705,1,0,?,?,1,0,0,0,1
Merge,splc18challengecase/vbdb/busybox/simple/df7b657.c:8,653,1,0,?,?,1,0,0,0,1
Merge,splc18challengecase/vbdb/busybox/simple/ebee301.c:24,701,1,0,?,?,1,0,0,0,1
Merge,splc18challengecase/vbdb/linux/simple/0988c4c.c:16,699,1,0,?,?,1,0,0,0,0
Merge,splc18challengecase/vbdb/linux/simple/0dc77b6.c:38,833,1,0,?,?,1,0,0,0,0
Merge,splc18challengecase/vbdb/linux/simple/0f8f809.c:39,831,1,0,?,?,1,0,0,0,0
Merge,splc18challengecase/vbdb/linux/simple/1f758a4.c:40,698,1,0,?,?,1,0,0,0,0
Merge,splc18challengecase/vbdb/linux/simple/208d898.c:32,741,1,0,?,?,1,0,0,0,0
Merge,splc18challengecase/vbdb/linux/simple/221ac32.c:37,761,1,0,?,?,1,0,0,0,0
Merge,splc18challengecase/vbdb/linux/simple/242f1a3.c:18,661,1,0,?,?,1,0,0,0,0
Merge,splc18challengecase/vbdb/linux/simple/2f02c15.c:18,666,1,0,?,?,1,0,0,0,0
Merge,splc18challengecase/vbdb/linux/simple/472a474.c:22,667,1,0,?,?,1,0,0,0,1
Merge,splc18challengecase/vbdb/linux/simple/51fd36f.c:44,771,1,0,?,?,1,0,0,0,0
Merge,splc18challengecase/vbdb/linux/simple/60e233a.c:27,715,1,0,?,?,1,0,0,0,1
Merge,splc18challengecase/vbdb/linux/simple/6252547.c:13,679,1,0,?,?,1,0,0,0,0
Merge,splc18challengecase/vbdb/linux/simple/63878ac.c:17,746,1,0,?,?,1,0,0,0,0
Merge,splc18challengecase/vbdb/linux/simple/6515e48.c:11,669,1,0,?,?,1,0,0,0,0
Merge,splc18challengecase/vbdb/linux/simple/657e964.c:69,718,1,0,?,?,1,0,0,0,1
Merge,splc18challengecase/vbdb/linux/simple/6651791.c:17,672,1,0,?,?,1,0,0,0,0
Merge,splc18challengecase/vbdb/linux/simple/6651791.c:25,677,1,0,?,?,1,0,0,0,0
Merge,splc18challengecase/vbdb/linux/simple/6e2b757.c:66,752,1,0,?,?,1,0,0,0,0
Merge,splc18challengecase/vbdb/linux/simple/76baeeb.c:40,820,1,0,?,?,1,0,0,0,0
